Date, Total
Dec 2021,5828.2
Nov 2021,5942.2
Oct 2021,6085.1
Sep 2021,6033.1
Aug 2021,6086.5
Jul 2021,6025.7
Jun 2021,6203.8
May 2021,5815.7
Apr 2021,5660.8
Mar 2021,5543.3
Feb 2021,5153.9
Jan 2021,5002.6
Dec 2020,5308.4
Nov 2020,5479.9
Oct 2020,5759.9
Sep 2020,5844.9
Aug 2020,6001.1
Jul 2020,5830.6
Jun 2020,5453
May 2020,4428.4
Apr 2020,3496.7
Mar 2020,5085.6
Feb 2020,6253.8
Jan 2020,6103.9
Dec 2019,6308.1
Nov 2019,6435.7
Oct 2019,6530
Sep 2019,6359.6
Aug 2019,6612.3
Jul 2019,6605.3
Jun 2019,6518.5
May 2019,6563.7
Apr 2019,6389
Mar 2019,5924.2
Feb 2019,5865.1
Jan 2019,5959.8
Dec 2018,6387
Nov 2018,6459.8
Oct 2018,6578.2
Sep 2018,6475.5
Aug 2018,6797.6
Jul 2018,6674.5
Jun 2018,6793.7
May 2018,6694.4
Apr 2018,6361.5
Mar 2018,6194.4
Feb 2018,6433.2
Jan 2018,6394.6
Dec 2017,6387.4
Nov 2017,6564.5
Oct 2017,6437.9
Sep 2017,6172.1
Aug 2017,6529.9
Jul 2017,7261
Jun 2017,7591.8
May 2017,7321.9
Apr 2017,7059.3
Mar 2017,7030.1
Feb 2017,6768.7
Jan 2017,6663.5
Dec 2016,7329.7
Nov 2016,7508.4
Oct 2016,7567.7
Sep 2016,7615.9
Aug 2016,7659.2
Jul 2016,7810.1
Jun 2016,7783.8
May 2016,7011.9
Apr 2016,7083.4
Mar 2016,6871.9
Feb 2016,6678.8
Jan 2016,6563.6
Dec 2015,6614.3
Nov 2015,6460.4
Oct 2015,6853.9
Sep 2015,6874.8
Aug 2015,7012.8
Jul 2015,6926.7
Jun 2015,6896.9
May 2015,6739.8
Apr 2015,6945.1
Mar 2015,6593.8
Feb 2015,6309
Jan 2015,6246.4
Dec 2014,5634.6
Nov 2014,5737
Oct 2014,5962.5
Sep 2014,5943.1
Aug 2014,6168.6
Jul 2014,6052.2
Jun 2014,6109
May 2014,6306.7
Apr 2014,6054.7
Mar 2014,5842.3
Feb 2014,5837.5
Jan 2014,5561.6
Dec 2013,5884.8
Nov 2013,6070.6
Oct 2013,5810.1
Sep 2013,5878.6
Aug 2013,6362.9
Jul 2013,6583.4
Jun 2013,6738.6
May 2013,6503
Apr 2013,6548.1
Mar 2013,6272.5
Feb 2013,6263.8
Jan 2013,6403.3
Dec 2012,6539.4
Nov 2012,6730.7
Oct 2012,6954.3
Sep 2012,6769.9
Aug 2012,7177.8
Jul 2012,6934.7
Jun 2012,7217.9
May 2012,7126.7
Apr 2012,6789
Mar 2012,6816.4
Feb 2012,6491
Jan 2012,6295.8
Dec 2011,7193.5
Nov 2011,7003.2
Oct 2011,6991.8
Sep 2011,7119.2
Aug 2011,7225.6
Jul 2011,7182.8
Jun 2011,7144.7
May 2011,6850.3
Apr 2011,6753.7
Mar 2011,7099.2
Feb 2011,6731.9
Jan 2011,6601
Dec 2010,7159.8
Nov 2010,6899.6
Oct 2010,6915.9
Sep 2010,6761.3
Aug 2010,7238.8
Jul 2010,7382.8
Jun 2010,7221.2
May 2010,7241.5
Apr 2010,6999.7
Mar 2010,6869.4
Feb 2010,6643
Jan 2010,6595.1
Dec 2009,7276.6
Nov 2009,6896.9
Oct 2009,7165.5
Sep 2009,7176.4
Aug 2009,7320.9
Jul 2009,7159.7
Jun 2009,7102.5
May 2009,6919.9
Apr 2009,6904
Mar 2009,6710.1
Feb 2009,6805.3
Jan 2009,6807.4
Dec 2008,7448.2
Nov 2008,7224.4
Oct 2008,7548.6
Sep 2008,7333.3
Aug 2008,7509.4
Jul 2008,7467.2
Jun 2008,7673
May 2008,7456.4
Apr 2008,7411.2
Mar 2008,7422.3
Feb 2008,7416.7
Jan 2008,7195.4
Dec 2007,7714.4
Nov 2007,7527.4
Oct 2007,7664.2
Sep 2007,7350.8
Aug 2007,7765.9
Jul 2007,7647.5
Jun 2007,7884.7
May 2007,7708.4
Apr 2007,7481.2
Mar 2007,7542.5
Feb 2007,7550.8
Jan 2007,7330.8
Dec 2006,7317.6
Nov 2006,7224
Oct 2006,7532.8
Sep 2006,7414.9
Aug 2006,7519.3
Jul 2006,7763.1
Jun 2006,7667.5
May 2006,7331.5
Apr 2006,6977.3
Mar 2006,7102.4
Feb 2006,6983.1
Jan 2006,6836.1
Dec 2005,7409.5
Nov 2005,7286.9
Oct 2005,7111.6
Sep 2005,7263.7
Aug 2005,7848.1
Jul 2005,8473
Jun 2005,8617.5
May 2005,8200.6
Apr 2005,7768.1
Mar 2005,7851.8
Feb 2005,7688.8
Jan 2005,7295.5
Dec 2004,8144.6
Nov 2004,8129.9
Oct 2004,8139.4
Sep 2004,8060.3
Aug 2004,8223
Jul 2004,8282.8
Jun 2004,8374.5
May 2004,7969.3
Apr 2004,7750.3
Mar 2004,7865.4
Feb 2004,7614.9
Jan 2004,7890
Dec 2003,8369.5
Nov 2003,8144.8
Oct 2003,8490.4
Sep 2003,8365.7
Aug 2003,8402.1
Jul 2003,8421.3
Jun 2003,8192.8
May 2003,7957.9
Apr 2003,7586.8
Mar 2003,7521.6
Feb 2003,7599.2
Jan 2003,7283.3
Dec 2002,7879.8
Nov 2002,7785.6
Oct 2002,8103.9
Sep 2002,7782.1
Aug 2002,8291.1
Jul 2002,8156.6
Jun 2002,7939.3
May 2002,7766.9
Apr 2002,7540.7
Mar 2002,7302.5
Feb 2002,7020.6
Jan 2002,6936.3
Dec 2001,7483
Nov 2001,7520.1
Oct 2001,7581.1
Sep 2001,7193.8
Aug 2001,7677
Jul 2001,7477.9
Jun 2001,7552.6
May 2001,7182.5
Apr 2001,7082.7
Mar 2001,6906
Feb 2001,6948.1
Jan 2001,6884.2
Dec 2000,6853.4
Nov 2000,6887.4
Oct 2000,6893.8
Sep 2000,6666.3
Aug 2000,7057.5
Jul 2000,6824.7
Jun 2000,7320.7
May 2000,7114.6
Apr 2000,6819.1
Mar 2000,6971.9
Feb 2000,6893.2
Jan 2000,6465.1
Dec 1999,7339.7
Nov 1999,6582.2
Oct 1999,6711.5
Sep 1999,6724.9
Aug 1999,6875.4
Jul 1999,6769.2
Jun 1999,7014.2
May 1999,6704.7
Apr 1999,6343.4
Mar 1999,6993.4
Feb 1999,6917.8
Jan 1999,6493.1
Dec 1998,7130.7
Nov 1998,6947.7
Oct 1998,7139.6
Sep 1998,6995.6
Aug 1998,7221.8
Jul 1998,7314.4
Jun 1998,7032.8
May 1998,6958.4
Apr 1998,6751.3
Mar 1998,6769
Feb 1998,6816.6
Jan 1998,6636
Dec 1997,7316.7
Nov 1997,7182.1
Oct 1997,7601.4
Sep 1997,7175.3
Aug 1997,7351.5
Jul 1997,7348
Jun 1997,7340.9
May 1997,7188.4
Apr 1997,6881.2
Mar 1997,6883.9
Feb 1997,6842.6
Jan 1997,6798
Dec 1996,6998.5
Nov 1996,7047
Oct 1996,7088.7
Sep 1996,6800.4
Aug 1996,7363
Jul 1996,6983
Jun 1996,7115.8
May 1996,6993.2
Apr 1996,6899.9
Mar 1996,6810.6
Feb 1996,6999.8
Jan 1996,6467.9
Dec 1995,7073.1
Nov 1995,6929.9
Oct 1995,6823
Sep 1995,6851.5
Aug 1995,7203.7
Jul 1995,7006.8
Jun 1995,7285
May 1995,6976.6
Apr 1995,6701.9
Mar 1995,6633
Feb 1995,6765.6
Jan 1995,6484.4
Dec 1994,7052.6
Nov 1994,6913.9
Oct 1994,6905.1
Sep 1994,7263.4
Aug 1994,7452.6
Jul 1994,7301
Jun 1994,7363.2
May 1994,7160.9
Apr 1994,6931.8
Mar 1994,6656.5
Feb 1994,6600.4
Jan 1994,6558.8
Dec 1993,6779.3
Nov 1993,6843.1
Oct 1993,6678.7
Sep 1993,6688.1
Aug 1993,6882.4
Jul 1993,6703.8
Jun 1993,6632
May 1993,6479.2
Apr 1993,6618.8
Mar 1993,6217.9
Feb 1993,6221.5
Jan 1993,6156
Dec 1992,6104.2
Nov 1992,6065.2
Oct 1992,6378.8
Sep 1992,6112.3
Aug 1992,6116.9
Jul 1992,7112.9
Jun 1992,7891.4
May 1992,6735.3
Apr 1992,6156.2
Mar 1992,5719.1
Feb 1992,6481.6
Jan 1992,6647.6
Dec 1991,6394.7
Nov 1991,6361.3
Oct 1991,6645.3
Sep 1991,6155.7
Aug 1991,6742.6
Jul 1991,6919.3
Jun 1991,6955.3
May 1991,6765.4
Apr 1991,6629.1
Mar 1991,5966.7
Feb 1991,6584.2
Jan 1991,6012.7
Dec 1990,7348.3
Nov 1990,7832.6
Oct 1990,7047.3
Sep 1990,6574.8
Aug 1990,7512.9
Jul 1990,8042.9
Jun 1990,8152.5
May 1990,7508.9
Apr 1990,6188.2
Mar 1990,6375.9
Feb 1990,7266.9
Jan 1990,6193.4
Dec 1989,7117.7
Nov 1989,6989.4
Oct 1989,7107.8
Sep 1989,6861.4
Aug 1989,7185.4
Jul 1989,6356.4
Jun 1989,7011.2
May 1989,7614.8
Apr 1989,6728.1
Mar 1989,6667
Feb 1989,6822.4
Jan 1989,6506.7
Dec 1988,7707.4
Nov 1988,7507.2
Oct 1988,7104.8
Sep 1988,7561.6
Aug 1988,7642.5
Jul 1988,7529.2
Jun 1988,7834.7
May 1988,6900.1
Apr 1988,7237.5
Mar 1988,6694
Feb 1988,6347.2
Jan 1988,6333.2
Dec 1987,6797.4
Nov 1987,6334.5
Oct 1987,6807.9
Sep 1987,7108.3
Aug 1987,7174.2
Jul 1987,7495
Jun 1987,8037.7
May 1987,7231.9
Apr 1987,6774.4
Mar 1987,6305.8
Feb 1987,6648
Jan 1987,5839
Dec 1986,6796.3
Nov 1986,6244.1
Oct 1986,6746.4
Sep 1986,6924
Aug 1986,7547.1
Jul 1986,6222.5
Jun 1986,6324
May 1986,5855.6
Apr 1986,5880.2
Mar 1986,5456.9
Feb 1986,5442.8
Jan 1986,5336.8
Dec 1985,5716.1
Nov 1985,5811.9
Oct 1985,6484.7
Sep 1985,5869.6
Aug 1985,6266.4
Jul 1985,5847.7
Jun 1985,5801.6
May 1985,6235.8
Apr 1985,5728
Mar 1985,6513.5
Feb 1985,5657.5
Jan 1985,5784.2
Dec 1984,5823.8
Nov 1984,5825.9
Oct 1984,6333.8
Sep 1984,5861
Aug 1984,6410.1
Jul 1984,5821
Jun 1984,6154.5
May 1984,6024.4
Apr 1984,5719.8
Mar 1984,5832.7
Feb 1984,6083.3
Jan 1984,5647.9
Dec 1983,6040.6
Nov 1983,5892.3
Oct 1983,5748.7
Sep 1983,6182.4
Aug 1983,6151.4
Jul 1983,5782.5
Jun 1983,6015.1
May 1983,5651.8
Apr 1983,5892.4
Mar 1983,6012.5
Feb 1983,5320.6
Jan 1983,5406.3